Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
15,K655,BROOKLYN HS OF THE ARTS - BROOKLYN,DOE - Skilled Trades,CAFETERIA SERVING LINE,Construction,In-Progress,2/10/2023,DOES,,DOES,489448.00,0.00,DSF0000960851
15,K656,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,5/18/2017,10/19/2017,7/18/2017,109022,165859.00,165859.00,"DSF0000798263, DSF0000784013"
15,K656,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/20/2017,12/21/2017,1/19/2018,426177,510233.00,491812.00,"DSF0000798263, DSF0000784013"
15,K656,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,6/11/2018,3/1/2020,,7101271,6895054.00,5402010.00,"DSF0000798263, DSF0000784013"
15,K656,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,6/11/2018,3/1/2020,,637617,950508.00,930867.00,"DSF0000798263, DSF0000784013"
15,K656,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOFS / COVID VENTILATION,Scope,Complete,1/26/2021,7/12/2021,11/3/2021,129522,250049.00,241536.00,"DSF0000942271, DSF0000942274, DSF0000942275, DSF0000942273, DSF0000990972"
15,K656,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOFS / COVID VENTILATION,Design,Complete,11/10/2021,4/15/2022,5/11/2022,639043,512647.00,465474.00,"DSF0000942271, DSF0000942274, DSF0000942275, DSF0000942273, DSF0000990972"
15,K656,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOFS / COVID VENTILATION,Construction,In-Progress,9/12/2022,9/10/2024,,13637703,12627103.00,6299713.00,"DSF0000942271, DSF0000942274, DSF0000942275, DSF0000942273, DSF0000990972"
15,K656,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOFS / COVID VENTILATION,"CM,F&E",In-Progress,9/12/2022,9/10/2024,,970878,274649.00,246057.00,"DSF0000942271, DSF0000942274, DSF0000942275, DSF0000942273, DSF0000990972"
15,K661,THE LITTLE BROOKLYN PRE-K CENTER,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,1/30/2024,DOES,,DOES,65832.00,0.00,DSF0001085455
15,K671,P.S. 958,DOE - RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,0.00,DSF0001112734
15,K671,P.S. 958,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/2/2024,DOES,4/5/2024,DOES,50832.00,9016.00,DSF0001084170
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA Capacity,NEW SCHOOL,Scope,Complete,5/6/2021,9/30/2021,11/16/2021,2016007,1150696.00,1148923.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA Capacity,NEW SCHOOL,Design,In-Progress,11/17/2021,5/5/2022,,9072032,9072032.00,1690205.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,114408401,114408401.00,1294670.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,16128056,16128056.00,663204.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA CIP,DEMOLITION,Scope,Complete,9/13/2022,9/13/2022,9/13/2022,68074,60578.00,60264.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA CIP,DEMOLITION,Design,Complete,9/13/2022,4/18/2023,7/14/2023,340372,152065.00,134641.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA CIP,DEMOLITION,Construction,PNS,PNS,PNS,PNS,7658377,7658377.00,206816.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA CIP,DEMOLITION,"CM,F&E",PNS,PNS,PNS,PNS,476521,476521.00,162413.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA CIP,DEMOLITION,Scope,Complete,7/1/2022,8/29/2022,7/1/2022,105550,60915.00,60915.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA CIP,DEMOLITION,Design,Complete,7/1/2022,11/30/2022,12/19/2022,527750,119480.00,119480.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA CIP,DEMOLITION,Construction,PNS,PNS,PNS,PNS,11874375,11874375.00,69287.00,DSF0000843826
15,K680,I.S. @ 46 VERONA STREET - BROOKLYN,SCA CIP,DEMOLITION,"CM,F&E",PNS,PNS,PNS,PNS,738850,738850.00,119207.00,DSF0000843826
15,K682,P.S. 896 - BROOKLYN,DOE - RESOA,FY21 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,101143.00,0.00,DSF0001008257
15,K692,THE LITTLE BROOKLYN PRE-K CENTER,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033613
15,K749,THE LITTLE BROOKLYN PRE-K CENTER,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,8/13/2018,DOES,,DOES,195142.00,0.00,DSF0000888716
15,K749,THE LITTLE BROOKLYN PRE-K CENTER,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,2/1/2024,DOES,,DOES,65832.00,0.00,DSF0001085464
15,K751,P.S. 58 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033454
15,K751,P.S. 58 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,3/1/2024,DOES,,DOES,65832.00,0.00,DSF0001085465
15,K763,THE MAURICE SENDAK COMMUNITY SCHOOL,SCA IEH,PO18-PERFORM QC SUPPLEMENTAL SAMPLING ON FLOORS IN ROOM 318. SOFT FILLER ASSUMED ACM.  DAMAGE IS IN,Construction,In-Progress,9/24/2024,IEH,,IEH,0.00,0.00,SCA0000073418
15,K763,THE MAURICE SENDAK COMMUNITY SCHOOL,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/16/2024,DIIR,7/25/2024,DIIR,50000.00,,DSF0001035588
15,K763,THE MAURICE SENDAK COMMUNITY SCHOOL,DOE - RESOA,FY18 RESO A HYDROPNICS CLASSROOM,Construction,In-Progress,6/7/2019,DOER,,DOER,113347.00,0.00,DSF0000867688
15,K763,THE MAURICE SENDAK COMMUNITY SCHOOL,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/18/2024,DOES,4/2/2024,DOES,65832.00,8966.00,DSF0001085467
15,K781,WEST BROOKLYN COMMUNITY HS - K,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,5/17/2024,IEH,6/9/2024,IEH,26176.00,5521.00,SCA0000073015
15,K781,WEST BROOKLYN COMMUNITY HS - K,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001035589
15,K781,WEST BROOKLYN COMMUNITY HS - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086149
15,K781,WEST BROOKLYN COMMUNITY HS - K,DOE - RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,59842.00,0.00,DSF0000867214
15,K801,HEADQTRS 65 CNTRL ADMIN. - K,SCA IEH,PO18-ABATE 40LF OF METAL TRACK ON FLOOR IN ROOM 922B,Construction,Complete,4/30/2024,IEH,5/2/2024,IEH,427.00,427.00,SCA0000072970
15,K801,HEADQTRS 65 CNTRL ADMIN. - K,SCA IEH,PO18-PLEASE REMOVE 800SF OF RUG AND FLOOR TILE ACM IN ROOM 907 ON THE 9TH FLOOR.,Construction,In-Progress,5/2/2024,IEH,,IEH,31741.00,1164.00,SCA0000072974
15,K801,HEADQTRS 65 CNTRL ADMIN. - K,SCA IEH,PO18-REMOVAL OF RUG AND FLOOR TILES IN ROOM #703,Construction,Complete,5/28/2024,IEH,8/4/2024,IEH,16414.00,1826.00,SCA0000073029
15,K801,HEADQTRS 65 CNTRL ADMIN. - K,Fast Track Projects,ELEVATOR MODERNIZATION,Construction,In-Progress,9/13/2017,FTK,,FTK,4840929.00,4788106.00,DSF0000851530
15,K801,HEADQTRS 65 CNTRL ADMIN. - K,DIIT - Project Connect,NEXT GENERATION NETWORK UPGRADE,Purch & Install,Complete,3/1/2019,DIIT,10/28/2022,DIIT,1511500.00,,DSF0000960590
15,K801,HEADQTRS 65 CNTRL ADMIN. - K,DOE - Skilled Trades,COOLING TOWER REPAIRS,Construction,In-Progress,1/31/2022,DOES,,DOES,233035.00,99667.00,DSF0000991068
15,K801,HEADQTRS 65 CNTRL ADMIN. - K,DOE - Skilled Trades,MASONRY REPAIRS,Construction,In-Progress,1/3/2024,DOES,,DOES,302535.00,0.00,DSF0001094771
15,K802,VIRTUAL INNOVATORS ACADEMY,SCA IEH,PO18-TEST CELING AND WALLS IN 2003A FOR ACM PLASTER WORK IN NEEDED,Construction,Complete,12/20/2023,IEH,4/9/2024,IEH,51.00,51.00,SCA0000072586
15,K802,VIRTUAL INNOVATORS ACADEMY,SCA IEH,"PO18-TEST FOR ACM 6 DIFFERENT ROOMS -4001A, CEILING AND WALL DETERIORATION, 301 -5001B, CEILING AND",Construction,Complete,12/20/2023,IEH,4/9/2024,IEH,39.00,39.00,SCA0000072584
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,6/28/2022,11/14/2022,11/16/2022,100490,99568.00,99568.00,"DSF0001016323, DSF0001016324, DSF0001016325, DSF0001067090"
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,12/9/2022,5/12/2023,5/12/2023,496499,311641.00,284259.00,"DSF0001016323, DSF0001016324, DSF0001016325, DSF0001067090"
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,10656678,10656678.00,58078.00,"DSF0001016323, DSF0001016324, DSF0001016325, DSF0001067090"
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,748041,748041.00,31847.00,"DSF0001016323, DSF0001016324, DSF0001016325, DSF0001067090"
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,3/22/2022,7/20/2022,3/28/2022,4700,3389.00,3389.00,DSF0000960755
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,3/28/2022,9/20/2022,7/19/2022,21150,13556.00,13556.00,DSF0000960755
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/8/2023,1/3/2024,,272600,243589.00,174214.00,DSF0000960755
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/8/2023,1/3/2024,,247639,234041.00,116653.00,DSF0000960755
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,SCA IEH,PO18-ABATE AND REPAIR FLOORING IN SCIENCE LABS # 411 AND 416,Construction,In-Progress,7/28/2023,IEH,,IEH,1117.00,542.00,SCA0000072171
15,K804,COBBLE  HILL SCHL OF AMER. STUD-K,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001033100
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA CIP RESOA,FY24 RESO A KITCHEN UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001086151
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA CIP RESOA,FY24 RESO A KITCHEN UPGRADE,Design,PNS,PNS,PNS,PNS,4500,4500.00,0.00,DSF0001086151
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA CIP RESOA,FY24 RESO A KITCHEN UPGRADE,Construction,PNS,PNS,PNS,PNS,66000,66000.00,0.00,DSF0001086151
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA CIP RESOA,FY24 RESO A KITCHEN UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,4500,4500.00,0.00,DSF0001086151
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087036
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087036
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087036
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087036
15,K825,SOUTH BROOKLYN COMM. HS - K,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,60000,60000.00,0.00,DSF0001035593
15,K825,SOUTH BROOKLYN COMM. HS - K,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2/8/2024,DIIR,4/18/2024,DIIR,70000.00,,DSF0001035592
15,K825,SOUTH BROOKLYN COMM. HS - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001086152
15,K834,K372 SPED - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,10/26/2022,3/1/2023,12/23/2022,4140,5027.00,5027.00,DSF0001034561
15,K834,K372 SPED - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,12/23/2022,6/22/2023,2/22/2023,18630,20109.00,20109.00,DSF0001034561
15,K834,K372 SPED - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,7/21/2023,6/14/2024,,240120,213785.00,180085.00,DSF0001034561
15,K834,K372 SPED - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,7/21/2023,6/14/2024,,70527,54852.00,51621.00,DSF0001034561
15,K834,K372 SPED - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,3/29/2023,4/3/2024,2/5/2024,13581,47434.00,46376.00,"DSF0001083942, DSF0001111802"
15,K834,K372 SPED - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,Design,Complete,2/5/2024,7/23/2024,3/14/2024,61114,42957.00,41876.00,"DSF0001083942, DSF0001111802"
15,K834,K372 SPED - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,787690,787690.00,5509.00,"DSF0001083942, DSF0001111802"
15,K834,K372 SPED - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,145994,145994.00,22328.00,"DSF0001083942, DSF0001111802"
15,K834,K372 SPED - BROOKLYN,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Scope,Complete,7/12/2021,10/8/2021,10/5/2021,0,52340.00,52340.00,DSF0001008277
15,K834,K372 SPED - BROOKLYN,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Design,Complete,11/15/2021,4/4/2022,10/31/2022,49603,73118.00,73118.00,DSF0001008277
15,K834,K372 SPED - BROOKLYN,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,6/16/2023,7/19/2024,,727510,545573.00,296970.00,DSF0001008277
15,K834,K372 SPED - BROOKLYN,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,6/16/2023,7/19/2024,,49603,77942.00,51026.00,DSF0001008277
15,K834,K372 SPED - BROOKLYN,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,In-Progress,9/26/2024,IEH,,IEH,0.00,0.00,SCA0000073433
15,K834,K372 SPED - BROOKLYN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/7/2024,DIIR,8/5/2024,DIIR,150000.00,150000.00,DSF0001035594
15,K834,K372 SPED - BROOKLYN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,185659.00,0.00,DSF0001086153
15,K845,P.S. 295 - BROOKLYN,SCA CIP,COVID VENTILATION,Scope,Complete,12/17/2020,4/16/2021,6/29/2021,21629,53170.00,53170.00,DSF0000991254
15,K845,P.S. 295 - BROOKLYN,SCA CIP,COVID VENTILATION,Design,Complete,6/30/2021,12/1/2021,11/5/2021,108145,101835.00,92097.00,DSF0000991254
15,K845,P.S. 295 - BROOKLYN,SCA CIP,COVID VENTILATION,Construction,PNS,PNS,PNS,PNS,2433264,2433264.00,706797.00,DSF0000991254
15,K845,P.S. 295 - BROOKLYN,SCA CIP,COVID VENTILATION,"CM,F&E",PNS,PNS,PNS,PNS,151403,151403.00,74442.00,DSF0000991254
15,K845,I.S. 443 - BROOKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Scope,Complete,11/27/2023,4/12/2024,6/5/2024,96022,109001.00,44664.00,"DSF0001111765, DSF0001111766, DSF0001094998"
15,K845,I.S. 443 - BROOKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Design,In-Progress,6/14/2024,11/18/2024,,465518,465518.00,4459.00,"DSF0001111765, DSF0001111766, DSF0001094998"
15,K845,I.S. 443 - BROOKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,9117076,9117076.00,16080.00,"DSF0001111765, DSF0001111766, DSF0001094998"
15,K845,I.S. 443 - BROOKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,686748,686748.00,18793.00,"DSF0001111765, DSF0001111766, DSF0001094998"
15,K845,P.S. 295 - BROOKLYN,SCA CIP,FY13 RESO A GYM UPG / GYM FLOOR / CAFE / GYM FLOOR SUBSTRATE / FLOOD ELIM / FLOORS / PARAPETS / EXT MASONRY / ROOFS,Scope,Complete,11/28/2012,4/23/2014,6/23/2014,176917,289253.00,254282.00,"DSF0000754744, DSF0000775989, DSF0000761629, DSF0000784298, DSF0000784302, DSF0000807596, DSF0000807597, DSF0000807595"
15,K845,P.S. 295 - BROOKLYN,SCA CIP,FY13 RESO A GYM UPG / GYM FLOOR / CAFE / GYM FLOOR SUBSTRATE / FLOOD ELIM / FLOORS / PARAPETS / EXT MASONRY / ROOFS,Design,Complete,12/10/2014,5/13/2015,8/24/2015,672202,1193170.00,1121040.00,"DSF0000754744, DSF0000775989, DSF0000761629, DSF0000784298, DSF0000784302, DSF0000807596, DSF0000807597, DSF0000807595"
15,K845,P.S. 295 - BROOKLYN,SCA CIP,FY13 RESO A GYM UPG / GYM FLOOR / CAFE / GYM FLOOR SUBSTRATE / FLOOD ELIM / FLOORS / PARAPETS / EXT MASONRY / ROOFS,Construction,In-Progress,7/17/2017,1/7/2019,,10351810,10572103.00,9178519.00,"DSF0000754744, DSF0000775989, DSF0000761629, DSF0000784298, DSF0000784302, DSF0000807596, DSF0000807597, DSF0000807595"
15,K845,P.S. 295 - BROOKLYN,SCA CIP,FY13 RESO A GYM UPG / GYM FLOOR / CAFE / GYM FLOOR SUBSTRATE / FLOOD ELIM / FLOORS / PARAPETS / EXT MASONRY / ROOFS,"CM,F&E",In-Progress,7/17/2017,1/7/2019,,1156748,1411309.00,1368090.00,"DSF0000754744, DSF0000775989, DSF0000761629, DSF0000784298, DSF0000784302, DSF0000807596, DSF0000807597, DSF0000807595"
15,K845,I.S. 443 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,5/22/2023,9/21/2023,6/7/2023,4537,587.00,587.00,DSF0001035024
15,K845,I.S. 443 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,6/7/2023,12/5/2023,8/30/2023,20417,2346.00,2346.00,DSF0001035024
15,K845,I.S. 443 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/23/2024,1/17/2025,,263158,249438.00,8228.00,DSF0001035024
15,K845,I.S. 443 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/23/2024,1/17/2025,,48775,29991.00,7839.00,DSF0001035024
15,K845,P.S. 295 - BROOKLYN,SCA Emergency Response,EMERGENCY STABILIZATION- SWB,Construction,In-Progress,9/6/2022,EMER,,EMER,18216.00,10103.00,SCA0000071438
15,K845,I.S. 443 - BROOKLYN,Fast Track Projects,LSP VACUUM PUMP REPLACEMENT,Construction,In-Progress,6/22/2021,FTK,,FTK,561423.00,554612.00,DSF0000942555
15,K845,I.S. 443 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/19/2024,DOES,5/2/2024,DOES,65832.00,9374.00,DSF0001084172
15,K871,PATHWAYS TO GRADUATION - CITYWIDE,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,5/17/2024,IEH,5/25/2024,IEH,9084.00,8895.00,SCA0000073012
15,K908,P.S. 230 - BROOKLYN,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,In-Progress,6/17/2024,IEH,,IEH,12399.00,0.00,SCA0000073073
15,K917,BROOKLYN COLLEGE ACADEMY - K,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,In-Progress,4/19/2024,IEH,,IEH,12399.00,0.00,SCA0000072945
15,K917,BROOKLYN COLLEGE ACADEMY - K,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033580
15,K917,BROOKLYN COLLEGE ACADEMY - K,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2/29/2024,DIIR,5/9/2024,DIIR,50000.00,,DSF0001035601
15,K917,BROOKLYN COLLEGE ACADEMY - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/24/2024,DIIR,8/7/2024,DIIR,50000.00,,DSF0001086159
15,K939,I.S. 136 - BROOKLYN,DOE - RESOA,FY24 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,175000.00,0.00,DSF0001086161
15,KAGI,BROOKLYN PROSPECT CHARTER SCHOOL - K,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001008259
15,KAGI,BROOKLYN PROSPECT CHARTER SCHOOL - K,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112746
15,KBGZ,NEVINS DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Scope,Complete,3/2/2021,8/3/2022,2/22/2023,23316,43607.00,43607.00,"DSF0001008758, DSF0001009214"
15,KBGZ,NEVINS DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Design,Complete,2/28/2023,6/30/2023,3/31/2023,115467,178296.00,115172.00,"DSF0001008758, DSF0001009214"
15,KBGZ,NEVINS DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Construction,In-Progress,11/13/2023,5/5/2025,,2501588,2830835.00,1273118.00,"DSF0001008758, DSF0001009214"
15,KBGZ,NEVINS DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,"CM,F&E",In-Progress,11/13/2023,5/5/2025,,171572,249807.00,124247.00,"DSF0001008758, DSF0001009214"
15,KBNU,BROOKLYN URBAN CHARTER SCHOOL,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001035604
15,KBNU,BROOKLYN URBAN CHARTER SCHOOL,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112748
16,K005,P.S. 5 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS,Scope,Complete,9/17/2020,2/23/2021,12/9/2020,167950,160789.00,146789.00,"DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,K005,P.S. 5 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS,Design,Complete,12/10/2020,8/31/2021,8/9/2021,839750,654065.00,595785.00,"DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
